#ID,callsign,title,name,location,website,file
K4RCG-1,K4RCG,Variable bands,Bob,Blue Rdg Mtns VA – FM08si,https://www.qsl.net/k4rcg/,https://www.qsl.net/k4rcg/hf1.jpg
K4RCG-2,K4RCG,Variable bands,Bob,Blue Rdg Mtns VA – FM08si,https://www.qsl.net/k4rcg/,https://www.qsl.net/k4rcg/hf2.jpg
K4RCG-3,K4RCG,Variable bands,Bob,Blue Rdg Mtns VA – FM08si,https://www.qsl.net/k4rcg/,https://www.qsl.net/k4rcg/latest.jpg
K5MO-1,K5MO,EU/US bands,John, North Carolina,https://qsl.net/k5mo/,https://qsl.net/k5mo/hf3.jpg
KL7L-0,KL7L,Band can vary,Laurence,"Wasilla, Alaska",http://kl7l.com/Alaska.html,http://kl7l.com/20aAlaska00000.jpg
KL7L-1,KL7L,Band can vary,Laurence,"Wasilla, Alaska",http://kl7l.com/Alaska.html,http://kl7l.com/20Alaska00000.jpg
KL7L-2,KL7L,Band can vary,Laurence,"Wasilla, Alaska",http://kl7l.com/Alaska.html,http://kl7l.com/30Alaska00000.jpg
KL7L-3,KL7L,Band can vary,Laurence,"Wasilla, Alaska",http://kl7l.com/Alaska.html,http://kl7l.com/40Alaska00000.jpg
KL7L-4,KL7L,136Khz,Laurence,"Wasilla, Alaska",http://kl7l.com/Alaska.html,http://kl7l.com/2LF00000.jpg
KL7L-5,KL7L,Band can vary,Laurence,"Wasilla, Alaska",http://kl7l.com/Alaska.html,http://kl7l.com/30aAlaska00000.jpg
LA5GOA-30m,LA5GOA,30m,Steen,Norway,http://la5goa.manglet.net/grabber,http://la5goa.manglet.net/grabber/lopshot1.jpg
M0BMN,M0BMN,Various, Paul,Wolverhampton,http://www.phoenixkitsonline.co.uk,http://www.phoenixkitsonline.co.uk/qrss.jpg
M0GBZ,M0GBZ,Various part time,Euan,Southern UK,https://qsl.net/m0gbz/,https://qsl.net/m0gbz/hf1.jpg
# M0RON,M0RON,Testing,Andy,Bishops Cleeve,https://www.qsl.net/m0ron/,https://www.qsl.net/m0ron/grabs/hf1.png
# N2NXZ,N2NXZ,Band hopper & balloons,Jim,New York (USA),http://www.qsl.net/n2nxz/,http://www.qsl.net/n2nxz/hf1.jpg
N8NJ-1,N8NJ,Various bands,Larry,Ohio,https://www.qsl.net/n8nj/index.html,https://www.qsl.net/n8nj/hf1.jpg
N8NJ-2,N8NJ,Various bands,Larry,Ohio,https://www.qsl.net/n8nj/index.html,https://www.qsl.net/n8nj/hf2.jpg
OH8GKP,OH8GKP,Experimental,Heikki,"Liminka,Finland",https://qsl.net/oh8gkp/wspr.html,https://qsl.net/oh8gkp/latest.png
